state,x,y
Sardegna,-224,-88
Sicilia,113,-211
Calabria,236,-119
Basilicata,211,-65
Puglia,248,-41
Campagna,123,-44
Molise,110,-7
Abruzzo,64,24
Lazio,-5,5
Umbria,-23,51
Marche,22,72
Toscana,-96,78
Emilia-Romagna,-89,128
Liguria,-249,112
Piemonte,-299,146
Vale d'Aosta,-323,202
Veneto,-59,176
Friuli-V.G.,6,210
Bolzano,6,210













