states
Rhode Island
Missouri
Minnesota
Tennessee
South Carolina
Florida
South Dakota
North Dakota
Kentucky
Oregon
Iowa
Colorado
California
Arizona
Maryland
North Carolina
Nevada
Alaska
New Hampshire
New Jersey
Ohio
Kansas
West Virginia
New Mexico
Alabama
Oklahoma
Washington
Connecticut
Wyoming
Georgia
Montana
Virginia
Michigan
Nebraska
Delaware
Indiana
Arkansas
Massachusetts
Texas
Hawaii
Illinois
Idaho
Vermont
Louisiana
Maine
Mississippi
Pennsylvania
Wisconsin
